Date,Unit1,Unit2,Unit3,Unit6
20140527,JAIM,MACR,BLMP,bad
20140529,CAVI,AMAD,RE18,bad
20140531,PLQE,CABI,bad,bad
20140602,GATR,RE27,bad,bad
20140604,SHAN,RE30,bad,bad
20140606,SHIL,UPBA,bad,bad
20140608,SHAA,HORS,bad,bad
20140610,RE19,LOLF,bad,bad
20140612,SHW,MISH,bad,bad
20140614,1800,LHAY,bad,bad
20140616,1500,SHAA,bad,bad
20140618,BLMP,GATR,bad,bad
20140620,HORS,MACR,bad,bad
20140622,H-B,RE27,bad,bad
20140624,1600,MISH,bad,bad
20140626,CAVI,RE18,bad,bad
20140628,KNOL,LOLF,bad,bad
20140630,PIPE,PLQE,bad,bad
20140702,DUMP,RE07,bad,bad
20140704,WMRD,LHAY,MLF2,bad
20140706,RE17,H-B,1500,bad
20140708,KNOL,DIPS,1600,bad
20140710,SHIL,GATE,WMRD,bad
20140712,RE08,SOHA,1800,bad
20140714,WGAT,STRO,DUMP,bad
20140716,SHAN,DIPS,RE07,bad
20140719,MLF2,SOHA,RE07,bad
20140721,AMAD,PLAN,SHW,bad
20140723,GATE,UPBA,STRO,bad
20140725,RE08,PLAN,RE19,bad
20140727,PIPE,RE30,RE19,bad
20140729,PLQE,RE27,SHAA,bad
20140731,SOHA,WGAT,RE07,bad
20140802,BLMP,LOLF,RE18,bad
20140804,MLF2,HORS,1500,bad
20140806,JAIM,CAVI,PLAN,bad
20140808,DUMP,H-B,AMAD,bad
20140810,GATE,UPBA,SHAN,bad
20140812,RE17,1600,GATR,bad
20140814,MISH,WMRD,SHIL,bad
20140816,1800,STRO,RE08,bad
20140819,MACR,LHAY,CABI,bad
20140820,KNOL,DIPS,RE30,bad
20140821,PIPE,SHW,GATE,bad
20140823,1800,SHAN,RE30,bad
20140825,WGAT,LHAY,JAIM,bad
20140827,RE07,SOHA,PLAN,bad
20140829,CABI,DUMP,1600,bad
20140831,KNOL,GATR,LOLF,bad
20140902,MLF2,WMRD,UPBA,bad
20140904,PLQE,MACR,DIPS,bad
20140906,PIPE,RE17,RE27,bad
20140908,1500,H-B,RE08,bad
20140910,CAVI,MISH,SHW,bad
20140912,HORS,SHAA,SHIL,bad
20140914,RE19,RE18,AMAD,bad
20140916,BLMP,STRO,1500,bad
20140918,MACR,RE30,JAIM,bad
20140920,KNOL,1800,SOHA,bad
20140922,MISH,1600,SHAA,bad
20140924,STRO,PIPE,RE27,bad
20140926,WGAT,DIPS,GATR,bad
20140928,RE17,H-B,LHAY,bad
20140930,WMRD,RE07,LOLF,bad
20141002,PLAN,RE19,MLF2,bad
20141004,UPBA,SHW,DUMP,bad
20141008,CAVI,AMAD,RE18,bad
20141010,PLQE,SHAN,CABI,bad
20141012,GATE,RE08,BLMP,bad
20141014,HORS,SHIL,SHAA,bad
20141016,RE07,MACR,RE27,bad
20141018,SHW,MISH,RE30,bad
20141020,AMAD,PLAN,DIPS,bad
20141022,BLMP,HORS,KNOL,bad
20141027,1600,PIPE,RE18,bad
20141029,JAIM,LOLF,SHIL,bad
20141031,RE19,CAVI,GATR,bad
20141102,1500,LHAY,SHAN,bad
20141104,UPBA,H-B,RE17,bad
20141106,CABI,STRO,GATE,bad
20141108,RE08,MLF2,PLQE,bad
20141110,DUMP,WMRD,WGAT,bad
20141112,SOHA,1800,bad,bad
20141119,SHAA,CABI,BKOK,bad
20141121,GATE,DIPS,SHIL,bad
20141123,FNCH,CHIM,AVEQ,bad
20141125,BISO,CAVI,PLAN,bad
20141127,KNOL,ARFT,MONA,bad
20141129,MLF2,RE17,MISH,bad
20141201,GATR,WMRD,RE27,bad
20141203,1600,DUMP,RE07,bad
20141205,STRO,1500,SHW,bad
20141207,RE30,PLQE,H-B,bad
20141209,RE08,LHAY,AARD,bad
20141213,JAIM,PIPE,MACR,bad
20141215,RE18,1800,WGAT,bad
20141217,ROBH,HORS,UPBA,bad
20141219,AMAD,LOLF,RE19,bad
20141221,SOHA,SHAN,BLMP,bad
20150103,RE18,1800,MISH,bad
20150105,WGAT,CHIM,DIPS,bad
20150107,H-B,AMAD,PLAN,bad
20150109,RE07,MONA,ARFT,bad
20150111,SHW,BISO,RE08,bad
20150113,SHAN,CAVI,PIPE,bad
20150115,LHAY,GATE,SHAA,bad
20150118,SOHA,BLMP,RE27,bad
20150120,1600,AARD,GATR,bad
20150122,RE30,DUMP,JAIM,bad
20150124,MACR,FNCH,ROBH,bad
20150126,MLF2,CABI,RE17,bad
20150128,AVEQ,SHIL,UPBA,bad
20150131,RE19,PLQE,STRO,bad
20150202,LOLF,BKOK,HORS,bad
20150204,1500,WMRD,KNOL,bad
20150206,1500,RE19,BKOK,bad
20150209,GATE,MLF2,MISH,bad
20150211,SHW,WGAT,SOHA,bad
20150213,RE30,FNCH,RE27,bad
20150220,bad,WMRD,MONA,bad
20150222,bad,MACR,LHAY,bad
20150224,bad,AMAD,RE18,bad
20150226,bad,bad,DIPS,bad
20150301,bad,bad,HORS,bad
20150303,bad,bad,STRO,bad
20150305,bad,bad,AARD,bad
20150307,bad,bad,CABI,bad
20150309,bad,bad,PLQE,bad
20150311,bad,bad,ROBH,bad
20150313,bad,bad,1600,bad
20150315,bad,bad,RE17,bad
20150317,bad,BLMP,RE27,bad
20150319,bad,AVEQ,BISO,bad
20150321,bad,CHIM,ROBH,bad
20150323,bad,RE07,PLAN,bad
20150325,bad,GATR,PLAN,bad
20150327,bad,H-B,JAIM,bad
20150329,bad,RE17,RE19,bad
20150331,bad,MISH,RE08,bad
20150402,bad,GATR,AARD,bad
20150404,bad,HORS,FNCH,bad
20150406,bad,STRO,SHAN,bad
20150408,bad,JAIM,LHAY,bad
20150410,bad,1600,bad,bad
20150412,bad,1500,AMAD,bad
20150414,bad,H-B,MACR,bad
20150416,bad,SOHA,BLMP,bad
20150419,bad,DUMP,CABI,bad
20150421,bad,WGAT,bad,bad
20150423,bad,PLQE,1800,bad
20150425,bad,SHW,DIPS,bad
20150427,bad,MLF2,GATE,bad
20150429,bad,GATR,RE18,bad
20150501,bad,ROBH,RE17,bad
20150503,bad,RE19,H-B,bad
20150505,bad,RE07,LHAY,bad
20150507,bad,DUMP,DIPS,bad
20150509,bad,LOLF,1500,bad
20150511,bad,AARD,BLMP,bad
20150513,bad,1600,KNOL,bad
20150515,bad,CHIM,WMRD,bad
20150517,bad,MACR,1800,bad
20150519,bad,SHAN,BISO,bad
20150521,bad,UPBA,WGAT,bad
20150523,bad,CAVI,AVEQ,bad
20150525,bad,JAIM,RE30,bad
20150527,bad,RE27,CABI,bad
20150529,bad,AMAD,BKOK,bad
20150531,bad,RE08,SHAA,bad
20150602,bad,PLAN,SHIL,bad
20150604,bad,HORS,ARFT,bad
20150606,bad,MISH,SOHA,bad
20150608,bad,LOLF,bad,bad
20150610,bad,JAIM,STRO,bad
20150612,bad,AARD,GATE,bad
20150614,bad,BLMP,PLQE,bad
20150616,bad,1600,DUMP,bad
20150618,bad,PLAN,DIPS,bad
20150620,bad,RE17,SHAN,bad
20150622,bad,BISO,ARFT,bad
20150624,bad,WGAT,WMRD,bad
20150626,bad,CAVI,1500,bad
20150628,bad,RE27,RE07,bad
20150630,bad,RE30,SHIL,bad
20150702,bad,H-B,GATE,bad
20150704,bad,KNOL,HORS,STRO
20150706,bad,MACR,ROBH,GATR
