IDNum	TagNum	Group	Sex	Status	Date Tagged	2014 Trim
4955	3333 2582	MACR	M	H	2014-05-27	GONE
5140	66CC 99AA	HORS	F	H	2014-07-12	2014-12-22
5190	5252 5266	1800	M	H	2014-07-24	X
5481	AAAA 6AD6	1600	M	H	2014-05-31	GONE BY 2015-05-27
5616	9999 35C3	MACR	M	H	2014-05-27	2015-04-09
5719	5555 2A55	HORS	M	B	2014-07-12	X
5053	6666 5BC4	HORS	M	B	2014-06-18	2014-12-22
5054	CCCC 1226	HORS	M	B	2014-06-18	X
4025	4052 4B33	1500	F	B	2014-12-20	na
4672	5555 2A52	1500	F	B	2014-12-20	na
4436	66CC CCB4	1500	M	B	2014-12-20	na
5082	334B 2D2A	1500	M	B	2014-12-20	na
5636	52D5 AAAA	1500	F	H	2014-12-20	na
5597	66AA 99B4	1500	F	H	2014-12-20	na
5420	66CC CCB3	1600	M	H	2014-12-22	na
4421	5252 5255	GATE	F	B	2014-12-17	na
5174	66CC AAAA	GATE	M	B	2014-12-17	na
5730	52D5 AACC	HORS	F	B	2014-12-22	na
5206	66CC ADB4	HORS	M	B	2014-12-22	na
5719	5555 2A55	HORS	M	B	2014-12-22	na
5201	52D5 AACB	HORS	F	H	2014-12-22	na
2973	66CC AAB3	MACR	M	B	2014-12-29	na
3399	5566 4B2A	KNOL	M	B	2015-04-04	na
5768	334B 4B52	MACR	M	H	2015-04-09	na
5604	5566 4B52	MACR	F	B	2015-04-09	na
4549	5566 552D	MACR	M	B	2015-04-09	REMOVED 2015-11-22
5696	334B 5533	CAVI	F	H	2015-05-24	na
5697	5566 4B4B	CAVI	F	H	2015-05-24	na
5728	334B 2D34	BLMP	M	H	2015-05-25	2015-11-24
4684	334B 4B55	1600	M	B	2015-05-26	na
5680	4B52 4B2D	LOLF	M	H	2015-05-30	na
5481	334B 554B	1600	M	H	2015-05-27	na
3703	2DB4 AAB3	BLMP	M	B	2015-11-24	NA
4204	334B 2A55	KNOL	M	B	2015-07-24	NA
5006	66CC D2D2	PLQE	M	B	2015-07-08	GONE BY 2015-07-13
5006	66AD B4CC	PLQE	M	B	2015-07-13	NA
5007	334B 4B34	KNOL	F	B	2015-07-24	NA
5079	52D5 ADAD	KNOL	F	B	2015-07-24	NA
5322	334B 664B	PLQE	M	H	2015-07-13	NA
5376	2D99 B4B3	BLMP	M	H	2015-11-24	2016-03-01
5378	5266 524B	BLMP	M	H	2015-11-24	NA
5562	5566 6652	PLQE	M	H	2015-07-08	NA
5714	4B52 4B66	KNOL	M	B	2015-07-24	NA
5700	334B 2D66	PLQE	F	H	2015-07-06	NA
5701	334B 2A66	PLQE	M	H	2015-07-13	NA
5715	66CC D2AD	KNOL	F	H	2015-04-25	NA
5727	2A52 4B66	BLMP	M	H	2015-11-24	NA
5806	5566 524C	PLQE	U	H	2015-07-08	NA
5836	66AA AD99	MLF2	F	H	2016-02-16	NA
5835	66AA B4D5	MLF2	M	H	2016-02-16	NA
4599	66AA CC99	BLMP	F	B	2016-03-01	NA
4621	5266 552A	CAVI	M	B	2016-02-20	NA
4638	2DB4 AACB	MLF2	F	B	2016-02-16	NA
5834	66CC ****	BLMP	F	H	2016-03-01	NA
5378	5555 4B4C	BLMP	M	B	2016-03-01	NA
5762	5266 5252	CAVI	M	H	2016-02-20	NA
4629	5252 4B4B	CAVI	F	B	2016-02-20	NA
4935	5252 4B55	CAVI	M	B	2016-02-20	NA
4754	5252 4B66	MLF2	M	B	2016-02-16	NA
4751	66AA AAAD	MLF2	M	B	2016-02-16	NA
5791	5252 5266	MLF2	M	H	2016-02-16	NA
